epochs,val_loss,val_acc,val_precision,val_recall,val_f1_score,loss,acc,precision,recall,f1_score
36,0.7006876786231995,0.6180799997901917,0.5785424235824206,0.8670723894661412,0.694013539975553,0.498005129776001,0.752639999961853,0.7617376775144238,0.7323694778998816,0.7467648967720361
37,0.6619861198234558,0.6372800004196167,0.610722610706793,0.7552850736465316,0.6753543827331112,0.5040848902893066,0.7504799998283386,0.7586608927255386,0.7317269076187675,0.7449504774389358
38,0.7074037218475342,0.608160000038147,0.6853994489980497,0.3984625240102991,0.503949720548857,0.5053141751861572,0.75352,0.7632283991834691,0.7322088353296031,0.7473968508865261
39,0.6676236257553101,0.6481600001716614,0.6639431616105171,0.598654708501004,0.6296108647158235,0.4917678814983368,0.7602400001716614,0.7667768594914582,0.7452208835221651,0.7558451638471377
40,0.7809570169448853,0.5662399997711182,0.6553287981364074,0.27770659832550587,0.3901011955178763,0.48395697881698607,0.7598399998474121,0.7678244972450088,0.7421686746868729,0.7547785809447631
41,0.9419823459625244,0.5694400004005432,0.5389622129716333,0.9548366431468662,0.6890095459084215,0.46299030338287356,0.773519999923706,0.7880176510388999,0.7458634538032793,0.7663612605805351
42,0.6806085519218444,0.6481599996566773,0.6867664912712762,0.543561819329162,0.6068299166846648,0.5129835841560364,0.7565600000572205,0.7712240027144354,0.7267469879401326,0.7483251505941062
43,0.8079133952522278,0.6132799995422363,0.7323665128060404,0.3558616271506771,0.4789824953048278,0.4714435366439819,0.7706400001716613,0.7849626612222511,0.7429718875382655,0.7633902281468135
44,0.7036624699592591,0.6430399999046326,0.6126992157699798,0.7757847533383798,0.6846642616245063,0.49238481901168824,0.7601600000762939,0.7765209939884058,0.7278714859320824,0.7514095686136282
45,0.6604189461708069,0.6500800001716613,0.6826885501882498,0.5595771940884184,0.6150325151587299,0.4617018173408508,0.7746399998855591,0.787158746195026,0.7503614457710786,0.7683197131544207
46,0.6710268607139588,0.6096000002861023,0.7133917396299504,0.3651505445110458,0.48305080264978145,0.4966063348007202,0.7568800001716613,0.7666555071850242,0.735742971875731,0.7508811697809726
47,0.7164966215705871,0.6004799997901916,0.7150722642315848,0.3327994874973479,0.45420760690764306,0.47208119848251345,0.7720799998664856,0.7844624199395945,0.7477911646466219,0.7656879177765544
48,0.6715406039810181,0.6260799996566773,0.610159977529886,0.696348494532468,0.6504113189341139,0.4598237940311432,0.7791999998855591,0.7899581589825949,0.7582329317147272,0.7737704418115929
49,0.6670337278938293,0.6505600004196167,0.6651408450470021,0.6050608584047066,0.633679923253977,0.4310045664310455,0.7968000000190735,0.804394515103182,0.7821686746862302,0.7931258662699047
50,0.7147021944236756,0.6315200002861023,0.6661257606220639,0.52594490709398,0.5877930417747345,0.4326650129127502,0.7964000000572204,0.8081044875953097,0.7752610441642529,0.7913420833200104
