epochs,val_loss,val_acc,val_precision,val_recall,val_f1_score,loss,acc,precision,recall,f1_score
25,0.7140619240760803,0.5910399999046325,0.7796442686976637,0.2527226137010659,0.3817125900026695,0.5126247356414795,0.7431200000953674,0.7520910003219791,0.7222489959723334,0.7368679332912107
26,0.6721303491210937,0.5772800004005432,0.5792079207729635,0.5621396540498994,0.5705461138417927,0.5698378531837464,0.7228800000762939,0.7323682881546479,0.6989558232819445,0.7152720197179411
27,0.6269600346374512,0.6518399997901917,0.6556945358572847,0.6380525304087747,0.6467531967415497,0.5482162664794922,0.7217600000190735,0.7410918026901687,0.6782329317160123,0.7082703745116244
28,0.786556980381012,0.5547199995231629,0.6881243062499306,0.1985906470147793,0.3082276560020785,0.5177609259223938,0.7391199999618531,0.7522123893677296,0.710040160631164,0.7305180890262958
29,0.6616595327377319,0.6411200002861023,0.6120887528535556,0.768737988444307,0.6815277086817957,0.5170349947261811,0.7424000000190735,0.7570573139305893,0.7108433734825568,0.7332228166488463
30,0.6616130953788757,0.6392000003051758,0.7240310077145204,0.4487508007543642,0.554083401417853,0.4951524264240265,0.755200000076294,0.7637939656482114,0.7360642570162882,0.7496727248739383
31,0.6815752629089356,0.6294399996757507,0.6011038635072478,0.7674567584635664,0.6741699000726349,0.49486203647613525,0.7558400000953674,0.767222502934694,0.7317269076187675,0.7490543818525923
32,0.6895024180793762,0.6209599997901917,0.7208211143272245,0.39365791158252217,0.5092189308777076,0.494734652633667,0.7584000001716614,0.770099443775997,0.7339759036026671,0.7516038322339504
33,0.668642291545868,0.6336000002861023,0.6140350877024662,0.7174887892146865,0.6617429340341321,0.5602291642093659,0.7244000001907349,0.7436886395381541,0.6814457831215832,0.7112079306350522
34,0.6740984398269654,0.6193599995422363,0.7300309597071188,0.3776425368232658,0.49778336225920355,0.48728411054611204,0.7572799998092652,0.7712973983885173,0.7286746987834751,0.7493804225209743
35,0.7389884134864807,0.6095999996566772,0.7478197673875131,0.3295964125454966,0.45753664048376425,0.4753304491901398,0.7716799998092652,0.7843765817313249,0.7468273092249506,0.7651414905046413
36,0.6683551111412048,0.6456000003051758,0.630955818636126,0.6998718769795045,0.6636294110099047,0.47593792543411256,0.7652000001716613,0.7821612349780075,0.7325301204701602,0.7565325091452403
37,0.6488955735778809,0.648160000038147,0.636902996124684,0.6877001921624696,0.6613275336046827,0.48093888677597046,0.7704800000762939,0.7834459459327121,0.7450602409518866,0.7637710492367445
38,0.7334704768562317,0.635999999923706,0.6025672075417156,0.7969250480205982,0.6862501233354368,0.45121041100502013,0.7824800000762939,0.7948200470771137,0.7591967871363985,0.7766000650410403
39,0.6694742893600464,0.6566399996757507,0.6493268053656877,0.6796925047828414,0.6641627043089176,0.44440991672515867,0.7882400001716614,0.7995646349497729,0.7670682730800471,0.7829793711778176
40,0.6934614387893677,0.6222399995422363,0.6120105975680892,0.6659192824898809,0.6378278377822512,0.44693644249916076,0.7887199998664856,0.8010752688037454,0.7659437750880973,0.7831156599572505
41,0.6617687911605835,0.6416799997901916,0.6924083769331411,0.508327994858798,0.5862578011719579,0.4374914347076416,0.793119999961853,0.8062615721123336,0.7694779116342253,0.787440357707877
42,0.6782246138000488,0.6528000004386901,0.6655076494900728,0.6130685457843348,0.6382126876420222,0.4279445474052429,0.8029600000381469,0.8160282257927415,0.7802409638428878,0.7977333818918055
43,0.7855158065032959,0.6334400004196167,0.5974665728220158,0.8158231902365207,0.6897765253116358,0.44662494508743283,0.7919199999046326,0.8063916131077715,0.7661044176583759,0.7857318884003034
44,0.6782332407760621,0.6484799995231628,0.6796116504590443,0.5605381165739738,0.6143583847030321,0.42755395612716673,0.7994399998474121,0.8149779735544734,0.7726907630397961,0.7932711630181856
45,0.716327907333374,0.656000000038147,0.6638570465049273,0.6306854580195168,0.6468462049393106,0.4325411408519745,0.7958400001525879,0.8109023192684798,0.7694779116342253,0.7896471640008963
46,0.7122798164749146,0.6398399996757508,0.6430213464485051,0.6271620755724804,0.6349926530843354,0.41319231967926023,0.8069599998855591,0.8197986577043658,0.7848995983809655,0.8019695848073701
47,0.7253573409080505,0.639360000038147,0.6775777413798045,0.5304292120265718,0.5950412730345683,0.38837580739974975,0.822319999961853,0.8342237061630347,0.8027309236818838,0.8181743257726121
48,0.7620407102394104,0.6452800004196168,0.614296539514668,0.778987828290231,0.6869085794039637,0.37717145013809206,0.8281599998283387,0.8383402489487413,0.8114056224769253,0.824653011224357
49,0.7723227614402771,0.6075199996566772,0.7258609047450465,0.34433055732401247,0.46708663893286334,0.38106562782287595,0.82376,0.8308654162416771,0.8112449799066467,0.8209379325996643
50,0.7322282359313965,0.654240000038147,0.6508634222715585,0.6639974375187702,0.6573647827096903,0.34212088581085204,0.849919999923706,0.8634464315416439,0.8298795180589578,0.8463302252351432
